epoch=0001 train=2.707552 validation=2.404623 traj_rmse=0.894729 horizon_rmse=0.918542
epoch=0002 train=2.334529 validation=2.377965 traj_rmse=0.876797 horizon_rmse=0.888762
epoch=0003 train=2.351287 validation=2.477033 traj_rmse=0.882874 horizon_rmse=0.892928
epoch=0004 train=2.455428 validation=2.610462 traj_rmse=0.885359 horizon_rmse=0.896222
epoch=0005 train=2.599497 validation=2.857934 traj_rmse=0.923680 horizon_rmse=0.935981
epoch=0006 train=2.874933 validation=3.351448 traj_rmse=0.931530 horizon_rmse=0.940908
epoch=0007 train=3.070151 validation=3.412752 traj_rmse=0.888004 horizon_rmse=0.902115
epoch=0008 train=3.268312 validation=4.711614 traj_rmse=0.893208 horizon_rmse=0.913628
epoch=0009 train=3.496755 validation=3.720834 traj_rmse=0.890546 horizon_rmse=0.909207
epoch=0010 train=3.610961 validation=4.150952 traj_rmse=0.916089 horizon_rmse=0.928643
epoch=0011 train=4.084290 validation=4.051460 traj_rmse=0.897068 horizon_rmse=0.906572
epoch=0012 train=3.925904 validation=4.259294 traj_rmse=0.908649 horizon_rmse=0.917374
epoch=0013 train=3.898127 validation=4.228088 traj_rmse=0.898920 horizon_rmse=0.914969
epoch=0014 train=4.040800 validation=4.413173 traj_rmse=0.904282 horizon_rmse=0.920504
epoch=0015 train=3.701223 validation=4.091782 traj_rmse=0.890082 horizon_rmse=0.906121
epoch=0016 train=4.044140 validation=4.046609 traj_rmse=0.890599 horizon_rmse=0.902209
epoch=0017 train=3.912291 validation=4.444734 traj_rmse=0.960377 horizon_rmse=0.963642
epoch=0018 train=3.950403 validation=4.145753 traj_rmse=0.898338 horizon_rmse=0.912227
epoch=0019 train=3.982734 validation=5.674294 traj_rmse=0.934690 horizon_rmse=0.942544
epoch=0020 train=4.193871 validation=4.767558 traj_rmse=0.901160 horizon_rmse=0.911336
epoch=0021 train=4.078193 validation=4.472233 traj_rmse=0.910353 horizon_rmse=0.915287
epoch=0022 train=3.866069 validation=4.232820 traj_rmse=0.938835 horizon_rmse=0.956948
epoch=0023 train=3.821560 validation=4.038707 traj_rmse=0.907955 horizon_rmse=0.912202
epoch=0024 train=3.497662 validation=3.920166 traj_rmse=0.911320 horizon_rmse=0.913952
epoch=0025 train=3.582837 validation=3.923203 traj_rmse=0.877067 horizon_rmse=0.889598
epoch=0026 train=3.645003 validation=4.170530 traj_rmse=0.934677 horizon_rmse=0.953167
epoch=0027 train=3.845357 validation=4.809275 traj_rmse=0.889556 horizon_rmse=0.897369
epoch=0028 train=3.900304 validation=4.595889 traj_rmse=0.933713 horizon_rmse=0.946133
epoch=0029 train=3.936574 validation=4.531974 traj_rmse=1.066837 horizon_rmse=1.056027
epoch=0030 train=3.759603 validation=4.072622 traj_rmse=0.894961 horizon_rmse=0.907444
epoch=0031 train=3.648383 validation=4.437433 traj_rmse=0.925514 horizon_rmse=0.937253
epoch=0032 train=3.813902 validation=3.673102 traj_rmse=0.881947 horizon_rmse=0.890216
epoch=0033 train=3.997343 validation=5.022422 traj_rmse=0.915406 horizon_rmse=0.920613
epoch=0034 train=4.106654 validation=4.211087 traj_rmse=0.911490 horizon_rmse=0.917779
epoch=0035 train=3.579918 validation=3.690848 traj_rmse=0.896062 horizon_rmse=0.908154
epoch=0036 train=3.631383 validation=4.109375 traj_rmse=0.878268 horizon_rmse=0.890365
epoch=0037 train=3.528507 validation=3.978696 traj_rmse=0.921822 horizon_rmse=0.930181
epoch=0038 train=3.568945 validation=4.204276 traj_rmse=0.893026 horizon_rmse=0.901062
epoch=0039 train=3.557524 validation=4.010634 traj_rmse=0.893073 horizon_rmse=0.898609
epoch=0040 train=3.596124 validation=3.693130 traj_rmse=0.958335 horizon_rmse=0.961856
epoch=0041 train=3.473822 validation=4.109632 traj_rmse=0.889154 horizon_rmse=0.901211
epoch=0042 train=3.358279 validation=3.671504 traj_rmse=0.873759 horizon_rmse=0.889021
