epoch=0001 train=2.092768 validation=1.811488 traj_rmse=0.875572 horizon_rmse=0.865077
epoch=0002 train=1.765327 validation=1.794178 traj_rmse=0.867109 horizon_rmse=0.857080
epoch=0003 train=1.789104 validation=1.871873 traj_rmse=0.871664 horizon_rmse=0.863165
epoch=0004 train=1.875433 validation=2.033689 traj_rmse=0.874902 horizon_rmse=0.869074
epoch=0005 train=2.032610 validation=2.248254 traj_rmse=0.870708 horizon_rmse=0.861042
epoch=0006 train=2.270229 validation=2.447043 traj_rmse=0.880375 horizon_rmse=0.869941
epoch=0007 train=2.442824 validation=2.787619 traj_rmse=0.885173 horizon_rmse=0.874537
epoch=0008 train=2.593586 validation=2.824747 traj_rmse=0.867170 horizon_rmse=0.857342
epoch=0009 train=2.764745 validation=2.943186 traj_rmse=0.869893 horizon_rmse=0.860018
epoch=0010 train=2.769849 validation=2.946976 traj_rmse=0.868610 horizon_rmse=0.859154
epoch=0011 train=2.851671 validation=3.073691 traj_rmse=0.872801 horizon_rmse=0.861376
epoch=0012 train=2.850653 validation=2.970448 traj_rmse=0.863849 horizon_rmse=0.852589
epoch=0013 train=2.940100 validation=3.054651 traj_rmse=0.894946 horizon_rmse=0.886310
epoch=0014 train=2.856966 validation=3.630882 traj_rmse=0.893983 horizon_rmse=0.882301
epoch=0015 train=2.899473 validation=3.070087 traj_rmse=0.873415 horizon_rmse=0.862204
epoch=0016 train=2.934289 validation=3.008642 traj_rmse=0.868530 horizon_rmse=0.855701
epoch=0017 train=2.775805 validation=3.392302 traj_rmse=0.874425 horizon_rmse=0.865290
epoch=0018 train=2.905996 validation=3.147710 traj_rmse=0.874462 horizon_rmse=0.864062
epoch=0019 train=2.894902 validation=3.044988 traj_rmse=0.886397 horizon_rmse=0.874584
epoch=0020 train=2.797080 validation=2.953904 traj_rmse=0.875952 horizon_rmse=0.865894
epoch=0021 train=2.721347 validation=2.924907 traj_rmse=0.882797 horizon_rmse=0.871170
epoch=0022 train=2.903614 validation=3.173727 traj_rmse=0.871741 horizon_rmse=0.859022
epoch=0023 train=2.870589 validation=3.201457 traj_rmse=0.919539 horizon_rmse=0.907634
epoch=0024 train=2.669414 validation=2.849569 traj_rmse=0.865495 horizon_rmse=0.854049
epoch=0025 train=2.746494 validation=2.801300 traj_rmse=0.881722 horizon_rmse=0.873936
epoch=0026 train=2.725380 validation=2.775902 traj_rmse=0.880431 horizon_rmse=0.870313
epoch=0027 train=2.628583 validation=2.857717 traj_rmse=0.882688 horizon_rmse=0.870634
epoch=0028 train=2.661299 validation=2.668600 traj_rmse=0.880272 horizon_rmse=0.866065
epoch=0029 train=2.644107 validation=2.784762 traj_rmse=0.885792 horizon_rmse=0.872546
epoch=0030 train=2.606218 validation=2.717478 traj_rmse=0.886667 horizon_rmse=0.874009
epoch=0031 train=2.528732 validation=2.597459 traj_rmse=0.865955 horizon_rmse=0.853951
epoch=0032 train=2.649253 validation=3.196941 traj_rmse=0.878513 horizon_rmse=0.866779
epoch=0033 train=3.607279 validation=3.106875 traj_rmse=0.896108 horizon_rmse=0.885080
epoch=0034 train=2.793694 validation=3.048250 traj_rmse=0.880604 horizon_rmse=0.868861
epoch=0035 train=2.567851 validation=2.819321 traj_rmse=0.881280 horizon_rmse=0.868883
epoch=0036 train=2.585308 validation=2.748025 traj_rmse=0.900740 horizon_rmse=0.885610
epoch=0037 train=2.606642 validation=2.542193 traj_rmse=0.881788 horizon_rmse=0.867827
epoch=0038 train=2.545240 validation=2.304726 traj_rmse=0.897836 horizon_rmse=0.886437
epoch=0039 train=2.430144 validation=2.498232 traj_rmse=0.878663 horizon_rmse=0.866286
epoch=0040 train=2.448206 validation=2.388651 traj_rmse=0.864400 horizon_rmse=0.852146
