epoch=0001 train=2.007749 validation=1.907889 traj_rmse=0.920880 horizon_rmse=0.906554
epoch=0002 train=1.811333 validation=1.806712 traj_rmse=0.898591 horizon_rmse=0.875234
epoch=0003 train=1.754466 validation=1.755370 traj_rmse=0.881590 horizon_rmse=0.868453
epoch=0004 train=1.730879 validation=1.783712 traj_rmse=0.873526 horizon_rmse=0.871357
epoch=0005 train=1.743574 validation=1.805107 traj_rmse=0.877015 horizon_rmse=0.863232
epoch=0006 train=1.756519 validation=1.811128 traj_rmse=0.873058 horizon_rmse=0.861224
epoch=0007 train=1.754390 validation=1.798141 traj_rmse=0.881412 horizon_rmse=0.860471
epoch=0008 train=1.736522 validation=1.878937 traj_rmse=0.907734 horizon_rmse=0.880025
epoch=0009 train=1.818499 validation=1.956013 traj_rmse=0.873777 horizon_rmse=0.875538
epoch=0010 train=1.913090 validation=1.982203 traj_rmse=0.873320 horizon_rmse=0.867339
epoch=0011 train=2.149615 validation=2.261868 traj_rmse=0.870263 horizon_rmse=0.862679
epoch=0012 train=2.284447 validation=3.168374 traj_rmse=0.892231 horizon_rmse=0.891810
epoch=0013 train=2.382825 validation=3.342796 traj_rmse=0.884594 horizon_rmse=0.881415
epoch=0014 train=2.668421 validation=4.199498 traj_rmse=0.891418 horizon_rmse=0.872968
epoch=0015 train=2.712213 validation=2.820906 traj_rmse=0.881826 horizon_rmse=0.865399
epoch=0016 train=3.179467 validation=2.507462 traj_rmse=0.878832 horizon_rmse=0.859623
epoch=0017 train=2.486860 validation=2.237508 traj_rmse=0.885597 horizon_rmse=0.885842
epoch=0018 train=2.597118 validation=3.477132 traj_rmse=0.870472 horizon_rmse=0.855538
epoch=0019 train=2.841269 validation=3.541413 traj_rmse=0.896332 horizon_rmse=0.902109
epoch=0020 train=2.670467 validation=3.833061 traj_rmse=0.886778 horizon_rmse=0.868449
epoch=0021 train=2.771652 validation=2.378245 traj_rmse=0.875508 horizon_rmse=0.871104
epoch=0022 train=3.118454 validation=2.449533 traj_rmse=0.871532 horizon_rmse=0.869158
epoch=0023 train=2.780896 validation=8.644485 traj_rmse=0.877899 horizon_rmse=0.869613
epoch=0024 train=3.245362 validation=3.148680 traj_rmse=0.882555 horizon_rmse=0.871142
epoch=0025 train=2.236335 validation=2.404827 traj_rmse=0.877505 horizon_rmse=0.867330
epoch=0026 train=2.661419 validation=3.423065 traj_rmse=0.876744 horizon_rmse=0.875247
epoch=0027 train=3.002244 validation=2.402845 traj_rmse=0.877568 horizon_rmse=0.866779
epoch=0028 train=2.854822 validation=2.301510 traj_rmse=0.888840 horizon_rmse=0.894364
epoch=0029 train=2.505157 validation=2.678488 traj_rmse=0.906510 horizon_rmse=0.901203
epoch=0030 train=2.801775 validation=2.487392 traj_rmse=0.883879 horizon_rmse=0.879308
epoch=0031 train=3.459905 validation=3.882958 traj_rmse=0.892478 horizon_rmse=0.893201
epoch=0032 train=2.880794 validation=2.144759 traj_rmse=0.882236 horizon_rmse=0.870314
epoch=0033 train=3.297524 validation=2.437222 traj_rmse=0.868771 horizon_rmse=0.856649
epoch=0034 train=2.470764 validation=3.992047 traj_rmse=0.870134 horizon_rmse=0.853262
epoch=0035 train=2.552061 validation=2.257785 traj_rmse=0.871320 horizon_rmse=0.872253
epoch=0036 train=2.835254 validation=2.741734 traj_rmse=0.895998 horizon_rmse=0.881343
epoch=0037 train=2.590470 validation=3.174179 traj_rmse=0.887415 horizon_rmse=0.876571
epoch=0038 train=2.641605 validation=3.722863 traj_rmse=0.879827 horizon_rmse=0.856530
epoch=0039 train=3.083400 validation=4.969530 traj_rmse=0.874325 horizon_rmse=0.858530
epoch=0040 train=2.697807 validation=1.962972 traj_rmse=0.881918 horizon_rmse=0.849615
epoch=0041 train=2.923105 validation=4.140041 traj_rmse=0.882151 horizon_rmse=0.858035
epoch=0042 train=3.404569 validation=31.699114 traj_rmse=0.887247 horizon_rmse=0.867947
epoch=0043 train=3.413343 validation=2.282613 traj_rmse=0.878620 horizon_rmse=0.877497
epoch=0044 train=2.706630 validation=2.379254 traj_rmse=0.866886 horizon_rmse=0.856553
epoch=0045 train=2.556394 validation=2.218694 traj_rmse=0.876352 horizon_rmse=0.869103
epoch=0046 train=2.628491 validation=2.369529 traj_rmse=0.875064 horizon_rmse=0.865615
epoch=0047 train=3.178581 validation=3.218687 traj_rmse=0.877456 horizon_rmse=0.857278
epoch=0048 train=3.470808 validation=2.587123 traj_rmse=0.880907 horizon_rmse=0.866608
epoch=0049 train=3.244136 validation=2.508863 traj_rmse=0.878295 horizon_rmse=0.862640
epoch=0050 train=3.664894 validation=3.047916 traj_rmse=0.885734 horizon_rmse=0.870889
epoch=0051 train=2.394857 validation=1.984383 traj_rmse=0.873894 horizon_rmse=0.860585
epoch=0052 train=3.313397 validation=2.350244 traj_rmse=0.876372 horizon_rmse=0.877711
epoch=0053 train=2.136357 validation=2.287219 traj_rmse=0.875489 horizon_rmse=0.871092
epoch=0054 train=2.525330 validation=2.910004 traj_rmse=0.881997 horizon_rmse=0.863661
epoch=0055 train=2.555016 validation=3.163675 traj_rmse=0.883565 horizon_rmse=0.883924
epoch=0056 train=2.334322 validation=2.575681 traj_rmse=0.875031 horizon_rmse=0.867810
epoch=0057 train=2.783218 validation=2.542882 traj_rmse=0.880207 horizon_rmse=0.864205
epoch=0058 train=2.517430 validation=2.379515 traj_rmse=0.869159 horizon_rmse=0.857895
epoch=0059 train=2.376729 validation=5.831595 traj_rmse=0.875045 horizon_rmse=0.866223
epoch=0060 train=2.625267 validation=2.107754 traj_rmse=0.879687 horizon_rmse=0.846620
epoch=0061 train=2.555590 validation=2.882658 traj_rmse=0.876146 horizon_rmse=0.863329
epoch=0062 train=2.720931 validation=2.457404 traj_rmse=0.890192 horizon_rmse=0.877643
epoch=0063 train=2.511797 validation=1.743684 traj_rmse=0.869934 horizon_rmse=0.859109
epoch=0064 train=2.309371 validation=2.419293 traj_rmse=0.906499 horizon_rmse=0.886928
epoch=0065 train=2.604008 validation=2.313903 traj_rmse=0.873745 horizon_rmse=0.866576
epoch=0066 train=2.633317 validation=2.339482 traj_rmse=0.868056 horizon_rmse=0.858973
epoch=0067 train=2.517269 validation=3.279136 traj_rmse=0.872151 horizon_rmse=0.862641
epoch=0068 train=2.766403 validation=8.646691 traj_rmse=0.876240 horizon_rmse=0.862389
epoch=0069 train=2.785611 validation=3.530890 traj_rmse=0.882046 horizon_rmse=0.879573
epoch=0070 train=3.154070 validation=2.066270 traj_rmse=0.875394 horizon_rmse=0.864941
