epoch=0001 train=1.884014 validation=1.804127 traj_rmse=0.886523 horizon_rmse=0.872549
epoch=0002 train=1.756035 validation=1.813070 traj_rmse=0.909416 horizon_rmse=0.900209
epoch=0003 train=1.769587 validation=1.748862 traj_rmse=0.868651 horizon_rmse=0.858667
epoch=0004 train=1.756682 validation=1.794069 traj_rmse=0.863696 horizon_rmse=0.851923
epoch=0005 train=1.805599 validation=1.955644 traj_rmse=0.863044 horizon_rmse=0.853061
epoch=0006 train=1.926256 validation=2.039918 traj_rmse=0.862656 horizon_rmse=0.852801
epoch=0007 train=2.053485 validation=2.080451 traj_rmse=0.862654 horizon_rmse=0.851591
epoch=0008 train=2.165453 validation=2.296656 traj_rmse=0.868377 horizon_rmse=0.859046
epoch=0009 train=2.253863 validation=2.314528 traj_rmse=0.869493 horizon_rmse=0.858918
epoch=0010 train=2.301181 validation=2.322196 traj_rmse=0.866465 horizon_rmse=0.856154
epoch=0011 train=2.239090 validation=2.235688 traj_rmse=0.890901 horizon_rmse=0.884765
epoch=0012 train=2.385577 validation=2.377747 traj_rmse=0.868807 horizon_rmse=0.859956
epoch=0013 train=2.486154 validation=2.532373 traj_rmse=0.890964 horizon_rmse=0.882511
epoch=0014 train=2.303012 validation=2.479771 traj_rmse=0.897683 horizon_rmse=0.889840
epoch=0015 train=2.261696 validation=2.418236 traj_rmse=0.869686 horizon_rmse=0.858698
epoch=0016 train=2.300999 validation=2.563085 traj_rmse=0.876803 horizon_rmse=0.868170
epoch=0017 train=2.265089 validation=2.593824 traj_rmse=0.864803 horizon_rmse=0.853748
epoch=0018 train=2.315766 validation=2.383566 traj_rmse=0.872877 horizon_rmse=0.862599
epoch=0019 train=2.333997 validation=2.287065 traj_rmse=0.915606 horizon_rmse=0.904848
epoch=0020 train=2.241516 validation=2.324074 traj_rmse=0.862256 horizon_rmse=0.850914
epoch=0021 train=2.267109 validation=2.679144 traj_rmse=0.867181 horizon_rmse=0.856538
epoch=0022 train=2.353523 validation=2.608420 traj_rmse=0.872399 horizon_rmse=0.859807
epoch=0023 train=2.309732 validation=2.565817 traj_rmse=0.889764 horizon_rmse=0.878981
epoch=0024 train=2.338015 validation=2.546741 traj_rmse=0.910657 horizon_rmse=0.902688
epoch=0025 train=2.256733 validation=2.348928 traj_rmse=0.861812 horizon_rmse=0.850970
epoch=0026 train=2.295276 validation=2.214291 traj_rmse=0.859688 horizon_rmse=0.848669
epoch=0027 train=2.248982 validation=2.274425 traj_rmse=0.874237 horizon_rmse=0.861134
