epoch=0001 train=2.424571 validation=2.031726 forecast_rmse=1.043702
epoch=0002 train=1.932444 validation=1.846666 forecast_rmse=1.067121
epoch=0003 train=1.800260 validation=1.734077 forecast_rmse=1.078865
epoch=0004 train=1.715028 validation=1.676516 forecast_rmse=1.083542
epoch=0005 train=1.678668 validation=1.643198 forecast_rmse=1.096422
epoch=0006 train=1.655501 validation=1.615116 forecast_rmse=1.104945
epoch=0007 train=1.645442 validation=1.610062 forecast_rmse=1.113515
epoch=0008 train=1.644182 validation=1.626487 forecast_rmse=1.124424
epoch=0009 train=1.645972 validation=1.609748 forecast_rmse=1.120246
epoch=0010 train=1.628201 validation=1.624621 forecast_rmse=1.114445
epoch=0011 train=1.654651 validation=1.621924 forecast_rmse=1.112859
epoch=0012 train=1.665957 validation=1.646160 forecast_rmse=1.101567
epoch=0013 train=1.682010 validation=1.653295 forecast_rmse=1.097541
epoch=0014 train=1.659845 validation=1.609606 forecast_rmse=1.092954
epoch=0015 train=1.689958 validation=1.653837 forecast_rmse=1.075409
epoch=0016 train=1.694384 validation=1.665664 forecast_rmse=1.079424
epoch=0017 train=1.683476 validation=1.671292 forecast_rmse=1.053445
epoch=0018 train=1.701791 validation=1.687086 forecast_rmse=1.046942
epoch=0019 train=1.729085 validation=1.731238 forecast_rmse=1.025692
epoch=0020 train=1.734010 validation=1.742655 forecast_rmse=1.019161
epoch=0021 train=1.714136 validation=1.737642 forecast_rmse=1.007924
epoch=0022 train=1.733361 validation=1.763214 forecast_rmse=0.977419
epoch=0023 train=1.741611 validation=1.756675 forecast_rmse=0.979612
epoch=0024 train=1.748250 validation=1.768495 forecast_rmse=0.961054
epoch=0025 train=1.751427 validation=1.810045 forecast_rmse=0.933263
epoch=0026 train=1.772488 validation=1.834363 forecast_rmse=0.906932
epoch=0027 train=1.786010 validation=1.829642 forecast_rmse=0.932774
epoch=0028 train=1.779253 validation=1.835961 forecast_rmse=0.898888
epoch=0029 train=1.787236 validation=1.872783 forecast_rmse=0.908738
epoch=0030 train=1.814654 validation=1.889670 forecast_rmse=0.879077
epoch=0031 train=1.831787 validation=1.866877 forecast_rmse=0.874115
epoch=0032 train=1.845232 validation=1.929378 forecast_rmse=0.891510
epoch=0033 train=1.872844 validation=1.926936 forecast_rmse=0.847809
epoch=0034 train=1.870184 validation=1.938720 forecast_rmse=0.859491
epoch=0035 train=1.889902 validation=1.940063 forecast_rmse=0.836748
epoch=0036 train=1.888666 validation=2.039153 forecast_rmse=0.841561
epoch=0037 train=1.949972 validation=2.011787 forecast_rmse=0.845503
epoch=0038 train=1.918761 validation=2.010041 forecast_rmse=0.843290
epoch=0039 train=1.946208 validation=1.968454 forecast_rmse=0.830444
epoch=0040 train=1.913198 validation=2.062344 forecast_rmse=0.819898
epoch=0041 train=1.964627 validation=2.025332 forecast_rmse=0.821567
epoch=0042 train=1.916869 validation=2.036819 forecast_rmse=0.816783
epoch=0043 train=1.929930 validation=2.061257 forecast_rmse=0.836813
epoch=0044 train=1.979704 validation=2.111524 forecast_rmse=0.824205
epoch=0045 train=1.965888 validation=2.082583 forecast_rmse=0.813484
epoch=0046 train=1.970454 validation=2.048666 forecast_rmse=0.795985
epoch=0047 train=1.987799 validation=2.106490 forecast_rmse=0.786616
epoch=0048 train=2.018623 validation=2.157550 forecast_rmse=0.787614
epoch=0049 train=2.031873 validation=2.144916 forecast_rmse=0.810155
epoch=0050 train=2.069895 validation=2.176134 forecast_rmse=0.794007
epoch=0051 train=2.033362 validation=2.262914 forecast_rmse=0.816081
epoch=0052 train=2.023983 validation=2.150929 forecast_rmse=0.806513
epoch=0053 train=2.022010 validation=2.161640 forecast_rmse=0.785487
epoch=0054 train=2.039651 validation=2.182229 forecast_rmse=0.795700
epoch=0055 train=2.015661 validation=2.165258 forecast_rmse=0.790616
epoch=0056 train=2.022368 validation=2.136171 forecast_rmse=0.799604
epoch=0057 train=2.048210 validation=2.255840 forecast_rmse=0.793059
epoch=0058 train=2.073789 validation=2.249666 forecast_rmse=0.798134
epoch=0059 train=2.052348 validation=2.197741 forecast_rmse=0.781526
epoch=0060 train=2.053690 validation=2.174095 forecast_rmse=0.781286
epoch=0061 train=2.062511 validation=2.287340 forecast_rmse=0.791284
epoch=0062 train=2.067612 validation=2.226290 forecast_rmse=0.781060
epoch=0063 train=2.021507 validation=2.233895 forecast_rmse=0.801475
epoch=0064 train=2.081448 validation=2.248110 forecast_rmse=0.781870
epoch=0065 train=2.077240 validation=2.260070 forecast_rmse=0.779806
epoch=0066 train=2.078813 validation=2.196514 forecast_rmse=0.774930
epoch=0067 train=2.080199 validation=2.304896 forecast_rmse=0.769227
epoch=0068 train=2.127663 validation=2.216306 forecast_rmse=0.770516
epoch=0069 train=2.111345 validation=2.235078 forecast_rmse=0.773421
epoch=0070 train=2.061734 validation=2.260437 forecast_rmse=0.774190
epoch=0071 train=2.079439 validation=2.335317 forecast_rmse=0.773277
epoch=0072 train=2.104695 validation=2.243657 forecast_rmse=0.769315
epoch=0073 train=2.085780 validation=2.281411 forecast_rmse=0.790996
