epoch=0001 train=2.023586 validation=1.821784 forecast_rmse=1.056531
epoch=0002 train=1.752168 validation=1.679929 forecast_rmse=1.059293
epoch=0003 train=1.629692 validation=1.583698 forecast_rmse=1.064797
epoch=0004 train=1.550376 validation=1.533933 forecast_rmse=1.068876
epoch=0005 train=1.511125 validation=1.503707 forecast_rmse=1.071179
epoch=0006 train=1.473679 validation=1.460014 forecast_rmse=1.071652
epoch=0007 train=1.441870 validation=1.436400 forecast_rmse=1.074537
epoch=0008 train=1.417678 validation=1.435555 forecast_rmse=1.075989
epoch=0009 train=1.401969 validation=1.405760 forecast_rmse=1.074980
epoch=0010 train=1.369207 validation=1.394177 forecast_rmse=1.074233
epoch=0011 train=1.358778 validation=1.375710 forecast_rmse=1.075807
epoch=0012 train=1.335284 validation=1.366002 forecast_rmse=1.077749
epoch=0013 train=1.312639 validation=1.343628 forecast_rmse=1.079861
epoch=0014 train=1.273313 validation=1.283413 forecast_rmse=1.081984
epoch=0015 train=1.257733 validation=1.277687 forecast_rmse=1.082027
epoch=0016 train=1.240697 validation=1.256881 forecast_rmse=1.084088
epoch=0017 train=1.203444 validation=1.239007 forecast_rmse=1.084796
epoch=0018 train=1.200932 validation=1.208085 forecast_rmse=1.088368
epoch=0019 train=1.182939 validation=1.214510 forecast_rmse=1.091059
epoch=0020 train=1.161085 validation=1.199127 forecast_rmse=1.092483
epoch=0021 train=1.127561 validation=1.179712 forecast_rmse=1.092903
epoch=0022 train=1.107481 validation=1.141514 forecast_rmse=1.096472
epoch=0023 train=1.093261 validation=1.122596 forecast_rmse=1.099121
epoch=0024 train=1.077157 validation=1.098398 forecast_rmse=1.101354
epoch=0025 train=1.057675 validation=1.102979 forecast_rmse=1.101366
epoch=0026 train=1.029829 validation=1.074434 forecast_rmse=1.104519
epoch=0027 train=1.021153 validation=1.057498 forecast_rmse=1.105203
epoch=0028 train=0.988190 validation=1.026777 forecast_rmse=1.105792
epoch=0029 train=0.969491 validation=1.036896 forecast_rmse=1.108130
epoch=0030 train=0.954211 validation=1.008953 forecast_rmse=1.109996
epoch=0031 train=0.933962 validation=0.967630 forecast_rmse=1.112138
epoch=0032 train=0.917078 validation=0.960203 forecast_rmse=1.113630
epoch=0033 train=0.910012 validation=0.946022 forecast_rmse=1.115162
epoch=0034 train=0.893916 validation=0.927433 forecast_rmse=1.115339
epoch=0035 train=0.869637 validation=0.918109 forecast_rmse=1.116898
epoch=0036 train=0.853876 validation=0.883563 forecast_rmse=1.120430
epoch=0037 train=0.850292 validation=0.876212 forecast_rmse=1.119172
epoch=0038 train=0.822214 validation=0.872325 forecast_rmse=1.117954
epoch=0039 train=0.801187 validation=0.832771 forecast_rmse=1.121532
epoch=0040 train=0.795613 validation=0.841188 forecast_rmse=1.122710
epoch=0041 train=0.768126 validation=0.834889 forecast_rmse=1.123152
epoch=0042 train=0.766361 validation=0.831747 forecast_rmse=1.124962
epoch=0043 train=0.733710 validation=0.801335 forecast_rmse=1.124057
epoch=0044 train=0.734042 validation=0.786221 forecast_rmse=1.125920
epoch=0045 train=0.724471 validation=0.769854 forecast_rmse=1.125628
epoch=0046 train=0.711651 validation=0.775879 forecast_rmse=1.126932
epoch=0047 train=0.705745 validation=0.763368 forecast_rmse=1.127163
epoch=0048 train=0.686295 validation=0.756417 forecast_rmse=1.127562
epoch=0049 train=0.674098 validation=0.736806 forecast_rmse=1.130323
epoch=0050 train=0.681600 validation=0.732811 forecast_rmse=1.128823
epoch=0051 train=0.670782 validation=0.727017 forecast_rmse=1.131639
epoch=0052 train=0.643212 validation=0.733556 forecast_rmse=1.130525
epoch=0053 train=0.637169 validation=0.694481 forecast_rmse=1.131396
epoch=0054 train=0.638985 validation=0.711292 forecast_rmse=1.131828
epoch=0055 train=0.626224 validation=0.674110 forecast_rmse=1.133196
epoch=0056 train=0.608675 validation=0.676152 forecast_rmse=1.134196
epoch=0057 train=0.599458 validation=0.660879 forecast_rmse=1.134462
epoch=0058 train=0.589071 validation=0.656400 forecast_rmse=1.133175
epoch=0059 train=0.572723 validation=0.671219 forecast_rmse=1.135151
epoch=0060 train=0.575701 validation=0.643765 forecast_rmse=1.137884
epoch=0061 train=0.566705 validation=0.647817 forecast_rmse=1.138145
epoch=0062 train=0.556671 validation=0.644939 forecast_rmse=1.140412
epoch=0063 train=0.539563 validation=0.619753 forecast_rmse=1.138413
epoch=0064 train=0.544121 validation=0.638342 forecast_rmse=1.139268
epoch=0065 train=0.537030 validation=0.599980 forecast_rmse=1.139806
epoch=0066 train=0.531792 validation=0.620685 forecast_rmse=1.140096
epoch=0067 train=0.519265 validation=0.592671 forecast_rmse=1.143222
epoch=0068 train=0.518036 validation=0.596587 forecast_rmse=1.141698
epoch=0069 train=0.519443 validation=0.592884 forecast_rmse=1.142352
epoch=0070 train=0.503494 validation=0.594082 forecast_rmse=1.144577
epoch=0071 train=0.489518 validation=0.574685 forecast_rmse=1.143375
epoch=0072 train=0.494765 validation=0.566599 forecast_rmse=1.142101
epoch=0073 train=0.491422 validation=0.554752 forecast_rmse=1.144685
epoch=0074 train=0.492555 validation=0.550226 forecast_rmse=1.145419
epoch=0075 train=0.470622 validation=0.557587 forecast_rmse=1.148819
epoch=0076 train=0.466236 validation=0.554057 forecast_rmse=1.145089
epoch=0077 train=0.454324 validation=0.528282 forecast_rmse=1.151905
epoch=0078 train=0.455437 validation=0.528985 forecast_rmse=1.148889
epoch=0079 train=0.444676 validation=0.531539 forecast_rmse=1.148789
epoch=0080 train=0.436983 validation=0.525043 forecast_rmse=1.151267
epoch=0081 train=0.438425 validation=0.530387 forecast_rmse=1.148692
