epoch=0001 train=2.993915 validation=2.591736 forecast_rmse=1.069445
epoch=0002 train=2.473550 validation=2.397944 forecast_rmse=1.128499
epoch=0003 train=2.314926 validation=2.179967 forecast_rmse=1.115807
epoch=0004 train=2.181248 validation=2.101576 forecast_rmse=1.012165
epoch=0005 train=2.116522 validation=2.073322 forecast_rmse=0.927452
epoch=0006 train=2.073068 validation=2.050746 forecast_rmse=0.873663
epoch=0007 train=2.061123 validation=2.044639 forecast_rmse=0.841635
epoch=0008 train=2.073172 validation=2.031857 forecast_rmse=0.822099
epoch=0009 train=2.047607 validation=2.030540 forecast_rmse=0.836622
epoch=0010 train=2.039191 validation=2.005283 forecast_rmse=0.839410
epoch=0011 train=2.060714 validation=2.039431 forecast_rmse=0.861977
epoch=0012 train=2.090014 validation=2.013406 forecast_rmse=0.849292
epoch=0013 train=2.068520 validation=2.023621 forecast_rmse=0.840745
epoch=0014 train=2.061793 validation=1.987943 forecast_rmse=0.844038
epoch=0015 train=2.035405 validation=2.018999 forecast_rmse=0.832627
epoch=0016 train=2.078657 validation=2.003251 forecast_rmse=0.843775
epoch=0017 train=2.054624 validation=2.020198 forecast_rmse=0.828946
epoch=0018 train=2.073863 validation=2.004223 forecast_rmse=0.849512
epoch=0019 train=2.070853 validation=2.020844 forecast_rmse=0.848391
epoch=0020 train=2.079188 validation=2.013075 forecast_rmse=0.833811
epoch=0021 train=2.061050 validation=2.030912 forecast_rmse=0.845977
epoch=0022 train=2.083996 validation=2.096363 forecast_rmse=0.863768
epoch=0023 train=2.086270 validation=2.070960 forecast_rmse=0.856588
epoch=0024 train=2.073998 validation=2.107443 forecast_rmse=0.861718
epoch=0025 train=2.096931 validation=2.052365 forecast_rmse=0.852560
epoch=0026 train=2.105241 validation=2.113623 forecast_rmse=0.849510
epoch=0027 train=2.132951 validation=2.094349 forecast_rmse=0.820420
epoch=0028 train=2.116694 validation=2.146930 forecast_rmse=0.823485
epoch=0029 train=2.114858 validation=2.146716 forecast_rmse=0.839643
epoch=0030 train=2.131248 validation=2.096584 forecast_rmse=0.841335
epoch=0031 train=2.118774 validation=2.143331 forecast_rmse=0.841848
epoch=0032 train=2.145908 validation=2.163018 forecast_rmse=0.839551
epoch=0033 train=2.182556 validation=2.120743 forecast_rmse=0.830806
epoch=0034 train=2.165873 validation=2.126018 forecast_rmse=0.868430
epoch=0035 train=2.206589 validation=2.171978 forecast_rmse=0.820904
epoch=0036 train=2.185787 validation=2.166793 forecast_rmse=0.831702
epoch=0037 train=2.199765 validation=2.202621 forecast_rmse=0.848315
epoch=0038 train=2.210695 validation=2.227794 forecast_rmse=0.860514
epoch=0039 train=2.240084 validation=2.199586 forecast_rmse=0.813722
epoch=0040 train=2.227915 validation=2.307850 forecast_rmse=0.861125
epoch=0041 train=2.289997 validation=2.294075 forecast_rmse=0.822882
epoch=0042 train=2.279729 validation=2.288921 forecast_rmse=0.838670
epoch=0043 train=2.288271 validation=2.267125 forecast_rmse=0.797376
epoch=0044 train=2.293959 validation=2.216271 forecast_rmse=0.803481
epoch=0045 train=2.289443 validation=2.257583 forecast_rmse=0.838134
epoch=0046 train=2.296024 validation=2.267920 forecast_rmse=0.839113
epoch=0047 train=2.283816 validation=2.297913 forecast_rmse=0.843363
epoch=0048 train=2.290776 validation=2.307059 forecast_rmse=0.821958
epoch=0049 train=2.308612 validation=2.243011 forecast_rmse=0.822318
epoch=0050 train=2.333853 validation=2.276618 forecast_rmse=0.819160
epoch=0051 train=2.370532 validation=2.377990 forecast_rmse=0.832002
epoch=0052 train=2.371637 validation=2.332128 forecast_rmse=0.834911
epoch=0053 train=2.378316 validation=2.285377 forecast_rmse=0.823720
epoch=0054 train=2.322593 validation=2.284320 forecast_rmse=0.834554
epoch=0055 train=2.360797 validation=2.338817 forecast_rmse=0.834101
epoch=0056 train=2.382861 validation=2.398280 forecast_rmse=0.848995
epoch=0057 train=2.402365 validation=2.431602 forecast_rmse=0.855015
epoch=0058 train=2.392115 validation=2.442388 forecast_rmse=0.834191
epoch=0059 train=2.390385 validation=2.346344 forecast_rmse=0.803470
epoch=0060 train=2.353930 validation=2.367026 forecast_rmse=0.819118
epoch=0061 train=2.373884 validation=2.422314 forecast_rmse=0.853757
