epoch=0001 train=3.125094 validation=2.730935 forecast_rmse=1.053324
epoch=0002 train=2.601209 validation=2.451844 forecast_rmse=1.071383
epoch=0003 train=2.410449 validation=2.319452 forecast_rmse=1.065918
epoch=0004 train=2.266339 validation=2.178027 forecast_rmse=0.982817
epoch=0005 train=2.179189 validation=2.134937 forecast_rmse=0.956377
epoch=0006 train=2.103883 validation=2.055072 forecast_rmse=0.893868
epoch=0007 train=2.078200 validation=2.089709 forecast_rmse=0.864370
epoch=0008 train=2.076508 validation=2.045515 forecast_rmse=0.852936
epoch=0009 train=2.063796 validation=2.052005 forecast_rmse=0.856635
epoch=0010 train=2.059788 validation=2.028564 forecast_rmse=0.845440
epoch=0011 train=2.066455 validation=2.061898 forecast_rmse=0.843977
epoch=0012 train=2.086735 validation=2.035559 forecast_rmse=0.843850
epoch=0013 train=2.082105 validation=2.023624 forecast_rmse=0.841159
epoch=0014 train=2.072448 validation=2.063793 forecast_rmse=0.838962
epoch=0015 train=2.059665 validation=2.065963 forecast_rmse=0.838328
epoch=0016 train=2.107744 validation=2.065936 forecast_rmse=0.838073
epoch=0017 train=2.093291 validation=2.098403 forecast_rmse=0.829246
epoch=0018 train=2.100937 validation=2.062430 forecast_rmse=0.818750
epoch=0019 train=2.103478 validation=2.101745 forecast_rmse=0.845390
epoch=0020 train=2.113161 validation=2.122081 forecast_rmse=0.855686
epoch=0021 train=2.100787 validation=2.112077 forecast_rmse=0.856597
epoch=0022 train=2.101637 validation=2.121132 forecast_rmse=0.845469
epoch=0023 train=2.111873 validation=2.192572 forecast_rmse=0.825967
epoch=0024 train=2.105130 validation=2.145730 forecast_rmse=0.847884
epoch=0025 train=2.101497 validation=2.207311 forecast_rmse=0.847924
epoch=0026 train=2.144020 validation=2.176739 forecast_rmse=0.864854
epoch=0027 train=2.129078 validation=2.187918 forecast_rmse=0.847178
epoch=0028 train=2.123686 validation=2.188853 forecast_rmse=0.858534
epoch=0029 train=2.126284 validation=2.170229 forecast_rmse=0.843928
epoch=0030 train=2.153739 validation=2.201809 forecast_rmse=0.862238
epoch=0031 train=2.155093 validation=2.223100 forecast_rmse=0.854250
epoch=0032 train=2.168192 validation=2.238497 forecast_rmse=0.834908
epoch=0033 train=2.164785 validation=2.223622 forecast_rmse=0.835198
epoch=0034 train=2.204019 validation=2.249952 forecast_rmse=0.850197
epoch=0035 train=2.197792 validation=2.286446 forecast_rmse=0.839797
epoch=0036 train=2.218031 validation=2.306120 forecast_rmse=0.858955
epoch=0037 train=2.225564 validation=2.289578 forecast_rmse=0.837298
epoch=0038 train=2.243105 validation=2.356562 forecast_rmse=0.831836
epoch=0039 train=2.255068 validation=2.311901 forecast_rmse=0.826197
epoch=0040 train=2.224581 validation=2.377704 forecast_rmse=0.814292
epoch=0041 train=2.281639 validation=2.334288 forecast_rmse=0.836706
epoch=0042 train=2.276075 validation=2.373008 forecast_rmse=0.844683
epoch=0043 train=2.277037 validation=2.407837 forecast_rmse=0.862961
epoch=0044 train=2.302520 validation=2.374196 forecast_rmse=0.827305
epoch=0045 train=2.298644 validation=2.352462 forecast_rmse=0.824931
epoch=0046 train=2.304088 validation=2.396818 forecast_rmse=0.838725
epoch=0047 train=2.332440 validation=2.376990 forecast_rmse=0.816876
epoch=0048 train=2.305922 validation=2.418746 forecast_rmse=0.842440
epoch=0049 train=2.350026 validation=2.467593 forecast_rmse=0.805539
epoch=0050 train=2.367054 validation=2.477554 forecast_rmse=0.833989
epoch=0051 train=2.373778 validation=2.503681 forecast_rmse=0.824897
epoch=0052 train=2.377785 validation=2.473080 forecast_rmse=0.834614
epoch=0053 train=2.359167 validation=2.427136 forecast_rmse=0.817767
epoch=0054 train=2.372387 validation=2.522861 forecast_rmse=0.824374
epoch=0055 train=2.382707 validation=2.517161 forecast_rmse=0.829014
epoch=0056 train=2.402032 validation=2.537015 forecast_rmse=0.806725
epoch=0057 train=2.388638 validation=2.515152 forecast_rmse=0.832199
epoch=0058 train=2.398473 validation=2.532227 forecast_rmse=0.841489
epoch=0059 train=2.385100 validation=2.510359 forecast_rmse=0.814859
epoch=0060 train=2.390488 validation=2.569823 forecast_rmse=0.844556
epoch=0061 train=2.413184 validation=2.483148 forecast_rmse=0.818402
epoch=0062 train=2.385611 validation=2.530326 forecast_rmse=0.827392
epoch=0063 train=2.399764 validation=2.585154 forecast_rmse=0.839163
epoch=0064 train=2.439127 validation=2.508345 forecast_rmse=0.811054
