epoch=0001 train=3.269951 validation=3.070091 forecast_rmse=1.005766
epoch=0002 train=3.008837 validation=3.010103 forecast_rmse=1.005333
epoch=0003 train=2.952658 validation=2.932005 forecast_rmse=1.004932
epoch=0004 train=2.901716 validation=2.956744 forecast_rmse=1.004565
epoch=0005 train=2.927461 validation=2.963117 forecast_rmse=1.004106
epoch=0006 train=2.916946 validation=2.947117 forecast_rmse=1.003630
epoch=0007 train=2.890087 validation=2.973083 forecast_rmse=1.003260
epoch=0008 train=2.882773 validation=2.969048 forecast_rmse=1.002865
epoch=0009 train=2.877871 validation=2.971382 forecast_rmse=1.002401
epoch=0010 train=2.845036 validation=2.976844 forecast_rmse=1.002068
epoch=0011 train=2.904936 validation=2.981962 forecast_rmse=1.001906
epoch=0012 train=2.908726 validation=3.041082 forecast_rmse=1.001813
epoch=0013 train=2.915050 validation=3.064699 forecast_rmse=1.001662
epoch=0014 train=2.917232 validation=3.055685 forecast_rmse=1.001470
epoch=0015 train=2.872519 validation=3.087597 forecast_rmse=1.001325
epoch=0016 train=2.939044 validation=3.120556 forecast_rmse=1.001221
epoch=0017 train=2.913523 validation=3.183289 forecast_rmse=1.001114
epoch=0018 train=2.956435 validation=3.250667 forecast_rmse=1.001103
epoch=0019 train=2.935821 validation=3.307755 forecast_rmse=1.001107
epoch=0020 train=2.947305 validation=3.337285 forecast_rmse=1.001065
epoch=0021 train=2.960661 validation=3.445061 forecast_rmse=1.001000
epoch=0022 train=2.995359 validation=3.526254 forecast_rmse=1.000894
epoch=0023 train=3.002062 validation=3.552205 forecast_rmse=1.000837
epoch=0024 train=3.007165 validation=3.653316 forecast_rmse=1.000799
epoch=0025 train=3.025588 validation=3.716393 forecast_rmse=1.000772
epoch=0026 train=3.080276 validation=3.742812 forecast_rmse=1.000789
epoch=0027 train=3.071897 validation=3.869938 forecast_rmse=1.000773
epoch=0028 train=3.059371 validation=4.023298 forecast_rmse=1.000713
epoch=0029 train=3.144980 validation=4.110897 forecast_rmse=1.000729
epoch=0030 train=3.145939 validation=4.210252 forecast_rmse=1.000693
epoch=0031 train=3.183532 validation=4.320206 forecast_rmse=1.000676
epoch=0032 train=3.212161 validation=4.492393 forecast_rmse=1.000682
epoch=0033 train=3.205313 validation=4.620488 forecast_rmse=1.000649
epoch=0034 train=3.200844 validation=4.641338 forecast_rmse=1.000618
epoch=0035 train=3.225059 validation=4.894710 forecast_rmse=1.000551
epoch=0036 train=3.303287 validation=4.949765 forecast_rmse=1.000516
epoch=0037 train=3.266490 validation=5.014981 forecast_rmse=1.000503
epoch=0038 train=3.242041 validation=5.251537 forecast_rmse=1.000456
epoch=0039 train=3.319331 validation=5.252845 forecast_rmse=1.000448
epoch=0040 train=3.342037 validation=5.383792 forecast_rmse=1.000454
epoch=0041 train=3.340424 validation=5.484281 forecast_rmse=1.000440
epoch=0042 train=3.358762 validation=5.652632 forecast_rmse=1.000464
epoch=0043 train=3.414321 validation=5.867333 forecast_rmse=1.000477
epoch=0044 train=3.372139 validation=5.968292 forecast_rmse=1.000490
epoch=0045 train=3.428413 validation=6.129968 forecast_rmse=1.000506
epoch=0046 train=3.428627 validation=6.178142 forecast_rmse=1.000536
epoch=0047 train=3.464900 validation=6.160120 forecast_rmse=1.000551
epoch=0048 train=3.452025 validation=6.346856 forecast_rmse=1.000560
epoch=0049 train=3.478188 validation=6.439510 forecast_rmse=1.000554
epoch=0050 train=3.534472 validation=6.401688 forecast_rmse=1.000574
epoch=0051 train=3.561566 validation=6.828061 forecast_rmse=1.000593
epoch=0052 train=3.523264 validation=6.776393 forecast_rmse=1.000606
epoch=0053 train=3.543678 validation=6.744081 forecast_rmse=1.000620
epoch=0054 train=3.521243 validation=6.993567 forecast_rmse=1.000626
epoch=0055 train=3.552308 validation=6.951301 forecast_rmse=1.000632
epoch=0056 train=3.570724 validation=6.920875 forecast_rmse=1.000611
epoch=0057 train=3.585110 validation=7.029039 forecast_rmse=1.000605
epoch=0058 train=3.494811 validation=6.997717 forecast_rmse=1.000601
epoch=0059 train=3.527043 validation=7.187851 forecast_rmse=1.000601
epoch=0060 train=3.549464 validation=7.587311 forecast_rmse=1.000602
epoch=0061 train=3.697731 validation=7.516924 forecast_rmse=1.000594
epoch=0062 train=3.576104 validation=7.775626 forecast_rmse=1.000596
epoch=0063 train=3.631467 validation=7.656914 forecast_rmse=1.000610
epoch=0064 train=3.603492 validation=7.541480 forecast_rmse=1.000606
epoch=0065 train=3.559528 validation=7.610145 forecast_rmse=1.000572
epoch=0066 train=3.590480 validation=7.660857 forecast_rmse=1.000571
