epoch=0001 train=2.462409 validation=2.242974 forecast_rmse=1.005766
epoch=0002 train=2.187355 validation=2.175175 forecast_rmse=1.005332
epoch=0003 train=2.138567 validation=2.121770 forecast_rmse=1.004957
epoch=0004 train=2.090060 validation=2.140139 forecast_rmse=1.004629
epoch=0005 train=2.101491 validation=2.102536 forecast_rmse=1.004226
epoch=0006 train=2.068836 validation=2.091778 forecast_rmse=1.003803
epoch=0007 train=2.074233 validation=2.137427 forecast_rmse=1.003448
epoch=0008 train=2.073315 validation=2.129402 forecast_rmse=1.003066
epoch=0009 train=2.062180 validation=2.168256 forecast_rmse=1.002612
epoch=0010 train=2.037722 validation=2.142281 forecast_rmse=1.002275
epoch=0011 train=2.092027 validation=2.169888 forecast_rmse=1.002083
epoch=0012 train=2.054367 validation=2.192113 forecast_rmse=1.001975
epoch=0013 train=2.083698 validation=2.240929 forecast_rmse=1.001819
epoch=0014 train=2.080108 validation=2.299385 forecast_rmse=1.001622
epoch=0015 train=2.067608 validation=2.288707 forecast_rmse=1.001472
epoch=0016 train=2.096226 validation=2.286956 forecast_rmse=1.001374
epoch=0017 train=2.088139 validation=2.376712 forecast_rmse=1.001265
epoch=0018 train=2.126689 validation=2.433218 forecast_rmse=1.001240
epoch=0019 train=2.104591 validation=2.469508 forecast_rmse=1.001236
epoch=0020 train=2.137643 validation=2.569297 forecast_rmse=1.001181
epoch=0021 train=2.156396 validation=2.613940 forecast_rmse=1.001108
epoch=0022 train=2.151459 validation=2.653469 forecast_rmse=1.000997
epoch=0023 train=2.171683 validation=2.777813 forecast_rmse=1.000943
epoch=0024 train=2.183832 validation=2.796043 forecast_rmse=1.000906
epoch=0025 train=2.189821 validation=2.943367 forecast_rmse=1.000874
epoch=0026 train=2.246665 validation=2.965006 forecast_rmse=1.000877
epoch=0027 train=2.278285 validation=3.057187 forecast_rmse=1.000856
epoch=0028 train=2.286039 validation=3.197804 forecast_rmse=1.000795
epoch=0029 train=2.302235 validation=3.249789 forecast_rmse=1.000812
epoch=0030 train=2.336513 validation=3.417092 forecast_rmse=1.000772
epoch=0031 train=2.392837 validation=3.585633 forecast_rmse=1.000755
epoch=0032 train=2.385790 validation=3.659773 forecast_rmse=1.000755
epoch=0033 train=2.357596 validation=3.663790 forecast_rmse=1.000722
epoch=0034 train=2.373211 validation=3.802670 forecast_rmse=1.000689
epoch=0035 train=2.446137 validation=4.054277 forecast_rmse=1.000620
epoch=0036 train=2.448210 validation=4.098216 forecast_rmse=1.000589
epoch=0037 train=2.466688 validation=4.221754 forecast_rmse=1.000578
epoch=0038 train=2.464363 validation=4.382461 forecast_rmse=1.000535
epoch=0039 train=2.527936 validation=4.463379 forecast_rmse=1.000528
epoch=0040 train=2.483755 validation=4.594128 forecast_rmse=1.000535
epoch=0041 train=2.522442 validation=4.741268 forecast_rmse=1.000524
epoch=0042 train=2.519863 validation=4.849971 forecast_rmse=1.000551
epoch=0043 train=2.602367 validation=5.044304 forecast_rmse=1.000559
epoch=0044 train=2.580904 validation=4.999551 forecast_rmse=1.000570
epoch=0045 train=2.598136 validation=5.373672 forecast_rmse=1.000588
epoch=0046 train=2.624176 validation=5.366052 forecast_rmse=1.000618
epoch=0047 train=2.683465 validation=5.475510 forecast_rmse=1.000632
epoch=0048 train=2.624419 validation=5.527352 forecast_rmse=1.000638
epoch=0049 train=2.653897 validation=5.515708 forecast_rmse=1.000629
epoch=0050 train=2.684645 validation=5.712384 forecast_rmse=1.000644
epoch=0051 train=2.754125 validation=5.869142 forecast_rmse=1.000660
epoch=0052 train=2.689083 validation=5.882843 forecast_rmse=1.000667
epoch=0053 train=2.688385 validation=5.862693 forecast_rmse=1.000681
epoch=0054 train=2.729127 validation=6.100373 forecast_rmse=1.000687
epoch=0055 train=2.736499 validation=6.045383 forecast_rmse=1.000696
epoch=0056 train=2.758625 validation=6.182600 forecast_rmse=1.000681
epoch=0057 train=2.723302 validation=6.321849 forecast_rmse=1.000674
epoch=0058 train=2.691323 validation=6.160520 forecast_rmse=1.000666
epoch=0059 train=2.696779 validation=6.278283 forecast_rmse=1.000666
epoch=0060 train=2.748510 validation=6.548012 forecast_rmse=1.000666
epoch=0061 train=2.820012 validation=6.482389 forecast_rmse=1.000654
epoch=0062 train=2.778980 validation=6.585608 forecast_rmse=1.000656
epoch=0063 train=2.733196 validation=6.742535 forecast_rmse=1.000670
epoch=0064 train=2.755395 validation=6.597496 forecast_rmse=1.000667
epoch=0065 train=2.727885 validation=6.923392 forecast_rmse=1.000640
epoch=0066 train=2.718561 validation=6.722651 forecast_rmse=1.000642
epoch=0067 train=2.686236 validation=7.268763 forecast_rmse=1.000626
epoch=0068 train=2.870291 validation=7.126393 forecast_rmse=1.000643
epoch=0069 train=2.854350 validation=6.911249 forecast_rmse=1.000660
epoch=0070 train=2.796047 validation=6.935560 forecast_rmse=1.000643
epoch=0071 train=2.787712 validation=7.159086 forecast_rmse=1.000643
epoch=0072 train=2.779162 validation=7.258049 forecast_rmse=1.000649
epoch=0073 train=2.806769 validation=7.028415 forecast_rmse=1.000656
epoch=0074 train=2.803641 validation=7.309436 forecast_rmse=1.000640
epoch=0075 train=2.837055 validation=7.183297 forecast_rmse=1.000645
epoch=0076 train=2.747535 validation=7.388518 forecast_rmse=1.000654
epoch=0077 train=2.889926 validation=7.201417 forecast_rmse=1.000663
epoch=0078 train=2.803183 validation=7.322256 forecast_rmse=1.000655
epoch=0079 train=2.804739 validation=7.434274 forecast_rmse=1.000657
epoch=0080 train=2.789271 validation=7.394253 forecast_rmse=1.000663
epoch=0081 train=2.892097 validation=7.288225 forecast_rmse=1.000665
epoch=0082 train=2.903457 validation=7.303335 forecast_rmse=1.000660
epoch=0083 train=2.967148 validation=7.824746 forecast_rmse=1.000649
epoch=0084 train=2.942660 validation=7.129856 forecast_rmse=1.000645
epoch=0085 train=2.776793 validation=7.182979 forecast_rmse=1.000637
epoch=0086 train=2.754508 validation=7.235947 forecast_rmse=1.000588
epoch=0087 train=2.776145 validation=7.203523 forecast_rmse=1.000568
epoch=0088 train=2.830193 validation=7.236361 forecast_rmse=1.000539
epoch=0089 train=2.868071 validation=7.523853 forecast_rmse=1.000509
epoch=0090 train=2.859408 validation=7.455735 forecast_rmse=1.000488
epoch=0091 train=2.692932 validation=7.516635 forecast_rmse=1.000451
epoch=0092 train=2.772425 validation=7.620959 forecast_rmse=1.000415
epoch=0093 train=2.767501 validation=7.753022 forecast_rmse=1.000419
epoch=0094 train=2.788034 validation=7.544660 forecast_rmse=1.000410
epoch=0095 train=2.844632 validation=7.643797 forecast_rmse=1.000416
epoch=0096 train=2.767375 validation=7.648631 forecast_rmse=1.000424
epoch=0097 train=2.783385 validation=7.762232 forecast_rmse=1.000439
epoch=0098 train=2.867322 validation=7.861267 forecast_rmse=1.000468
epoch=0099 train=2.812024 validation=7.800542 forecast_rmse=1.000463
epoch=0100 train=2.866706 validation=8.017649 forecast_rmse=1.000433
epoch=0101 train=2.823060 validation=8.068089 forecast_rmse=1.000408
epoch=0102 train=2.872792 validation=8.049667 forecast_rmse=1.000381
epoch=0103 train=2.876453 validation=8.087693 forecast_rmse=1.000384
epoch=0104 train=2.897375 validation=7.667605 forecast_rmse=1.000387
epoch=0105 train=2.799177 validation=7.957305 forecast_rmse=1.000418
epoch=0106 train=2.871093 validation=7.901438 forecast_rmse=1.000399
epoch=0107 train=2.817922 validation=7.852016 forecast_rmse=1.000386
epoch=0108 train=2.810264 validation=7.757040 forecast_rmse=1.000372
epoch=0109 train=2.797042 validation=7.793862 forecast_rmse=1.000367
epoch=0110 train=2.781123 validation=7.987754 forecast_rmse=1.000370
epoch=0111 train=2.786516 validation=8.003921 forecast_rmse=1.000332
epoch=0112 train=2.751474 validation=7.938490 forecast_rmse=1.000328
epoch=0113 train=2.772400 validation=8.022085 forecast_rmse=1.000312
